chr#	GeneID	Symbol	EnsemblID	HGNCID	MIM Number	UniprotAC	UniprotID	type_of_gene	Feature_type	Feature_type2	Feature_type3	Feature_type4	Feature_type5	Feature_type6	Feature_type7	Feature_type8	Feature_type9	Feature_type10	Feature_type11
1	115801426	LOC115801426						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	115801427	LOC115801427						biological-region	transcriptional_cis_regulatory_region										
1	115801428	LOC115801428						biological-region	transcriptional_cis_regulatory_region										
1	115801429	LOC115801429						biological-region	transcriptional_cis_regulatory_region										
1	115801430	LOC115801430						biological-region	transcriptional_cis_regulatory_region										
1	115801431	LOC115801431						biological-region	transcriptional_cis_regulatory_region										
1	115801432	LOC115801432						biological-region	transcriptional_cis_regulatory_region										
1	115801433	LOC115801433						biological-region	transcriptional_cis_regulatory_region										
1	115801434	LOC115801434						biological-region	transcriptional_cis_regulatory_region										
1	115801435	LOC115801435						biological-region	transcriptional_cis_regulatory_region										
1	115801436	LOC115801436						biological-region	transcriptional_cis_regulatory_region										
1	115801437	LOC115801437						biological-region	transcriptional_cis_regulatory_region										
1	115801438	LOC115801438						biological-region	transcriptional_cis_regulatory_region										
1	115801439	LOC115801439						biological-region	transcriptional_cis_regulatory_region										
1	115801440	LOC115801440						biological-region	transcriptional_cis_regulatory_region										
1	115801441	LOC115801441						biological-region	transcriptional_cis_regulatory_region										
1	115801442	LOC115801442						biological-region	transcriptional_cis_regulatory_region										
1	115801443	LOC115801443						biological-region	transcriptional_cis_regulatory_region										
1	115801444	LOC115801444						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	115801445	LOC115801445						biological-region	transcriptional_cis_regulatory_region										
1	115801446	LOC115801446						biological-region	transcriptional_cis_regulatory_region										
1	115801447	LOC115801447						biological-region	transcriptional_cis_regulatory_region										
1	115801448	LOC115801448						biological-region	transcriptional_cis_regulatory_region										
1	115801449	LOC115801449						biological-region	transcriptional_cis_regulatory_region										
1	115801450	LOC115801450						biological-region	transcriptional_cis_regulatory_region										
1	115801451	LOC115801451						biological-region	transcriptional_cis_regulatory_region										
1	115801452	LOC115801452						biological-region	transcriptional_cis_regulatory_region										
1	115801453	LOC115801453						biological-region	transcriptional_cis_regulatory_region										
1	115801454	LOC115801454						biological-region	transcriptional_cis_regulatory_region										
1	115801455	LOC115801455						biological-region	transcriptional_cis_regulatory_region										
1	115801456	LOC115801456						biological-region	transcriptional_cis_regulatory_region										
1	115804233	LOC115804233						biological-region	transcriptional_cis_regulatory_region										
1	115804234	LOC115804234						biological-region	enhancer	transcriptional_cis_regulatory_region									
1	115804235	LOC115804235						biological-region	transcriptional_cis_regulatory_region										
1	115804236	LOC115804236						biological-region	transcriptional_cis_regulatory_region										
1	115804237	LOC115804237						biological-region	transcriptional_cis_regulatory_region										
1	115804238	LOC115804238						biological-region	transcriptional_cis_regulatory_region										
1	115804239	LOC115804239						biological-region	transcriptional_cis_regulatory_region										
1	115804240	LOC115804240						biological-region	transcriptional_cis_regulatory_region										
1	115804242	LOC115804242						biological-region	transcriptional_cis_regulatory_region										
1	115804243	LOC115804243						biological-region	transcriptional_cis_regulatory_region										
1	115804244	LOC115804244						biological-region	transcriptional_cis_regulatory_region										
1	115804245	LOC115804245						biological-region	transcriptional_cis_regulatory_region										
1	115804246	LOC115804246						biological-region	transcriptional_cis_regulatory_region										
1	115804247	LOC115804247						biological-region	transcriptional_cis_regulatory_region										
1	115804248	LOC115804248						biological-region	transcriptional_cis_regulatory_region										
1	115804249	LOC115804249						biological-region	transcriptional_cis_regulatory_region										
1	115804250	LOC115804250						biological-region	transcriptional_cis_regulatory_region										
1	115804251	LOC115804251						biological-region	transcriptional_cis_regulatory_region										
1	115804252	LOC115804252						biological-region	transcriptional_cis_regulatory_region										
1	115804253	LOC115804253						biological-region	transcriptional_cis_regulatory_region										
1	115804254	LOC115804254						biological-region	transcriptional_cis_regulatory_region										
1	115804255	LOC115804255						biological-region	transcriptional_cis_regulatory_region										
1	115804256	LOC115804256						biological-region	transcriptional_cis_regulatory_region										
1	120766157	LOC120766157						biological-region	silencer										
1	120766158	LOC120766158						biological-region	silencer										
1	120807606	LOC120807606						biological-region	enhancer	silencer									
1	120807608	LOC120807608						biological-region	silencer										
1	120807609	LOC120807609						biological-region	silencer										
1	120807610	LOC120807610						biological-region	transcriptional_cis_regulatory_region										
1	120851201	LOC120851201						biological-region	enhancer										
1	120851202	LOC120851202						biological-region	enhancer										
1	120883620	LOC120883620						biological-region	enhancer										
1	120883621	LOC120883621						biological-region	enhancer										
1	120883622	LOC120883622						biological-region	enhancer										
1	120883623	LOC120883623						biological-region	enhancer										
1	120893113	LOC120893113						biological-region	enhancer	silencer									
1	120893114	LOC120893114						biological-region	enhancer										
1	120893115	LOC120893115						biological-region	enhancer										
1	120893116	LOC120893116						biological-region	enhancer										
1	120893117	LOC120893117						biological-region	enhancer										
1	120893118	LOC120893118						biological-region	enhancer										
1	120893119	LOC120893119						biological-region	enhancer										
1	120893120	LOC120893120						biological-region	enhancer										
1	120893121	LOC120893121						biological-region	enhancer										
1	120893122	LOC120893122						biological-region	enhancer										
1	120893123	LOC120893123						biological-region	enhancer										
1	120893124	LOC120893124						biological-region	enhancer										
1	120893125	LOC120893125						biological-region	enhancer										
1	120893126	LOC120893126						biological-region	enhancer										
1	120893127	LOC120893127						biological-region	enhancer										
1	120893128	LOC120893128						biological-region	enhancer										
1	120893129	LOC120893129						biological-region	enhancer										
1	120893130	LOC120893130						biological-region	enhancer										
1	120893131	LOC120893131						biological-region	enhancer										
1	120893132	LOC120893132						biological-region	enhancer										
1	120893133	LOC120893133						biological-region	enhancer										
1	120893134	LOC120893134						biological-region	enhancer										
1	120893135	LOC120893135						biological-region	enhancer										
1	120893136	LOC120893136						biological-region	enhancer										
1	120893137	LOC120893137						biological-region	enhancer										
1	120893138	LOC120893138						biological-region	enhancer										
1	120893139	LOC120893139						biological-region	enhancer										
1	120893140	LOC120893140						biological-region	enhancer										
1	120893141	LOC120893141						biological-region	enhancer										
1	120893142	LOC120893142						biological-region	enhancer										
1	120893143	LOC120893143						biological-region	enhancer										
1	120893144	LOC120893144						biological-region	enhancer										
1	120893145	LOC120893145						biological-region	enhancer										
1	120893146	LOC120893146						biological-region	enhancer										
1	120893147	LOC120893147						biological-region	enhancer										
1	120893148	LOC120893148						biological-region	enhancer										
1	120893149	LOC120893149						biological-region	enhancer										
1	120893150	LOC120893150						biological-region	enhancer										
1	120893151	LOC120893151						biological-region	enhancer										
1	120893152	LOC120893152						biological-region	enhancer										
1	120893153	LOC120893153						biological-region	enhancer										
1	120893154	LOC120893154						biological-region	enhancer										
1	120893155	LOC120893155						biological-region	enhancer										
1	120893156	LOC120893156						biological-region	enhancer										
1	120893157	LOC120893157						biological-region	enhancer										
1	120893158	LOC120893158						biological-region	enhancer										
1	120893159	LOC120893159						biological-region	enhancer										
1	120893160	LOC120893160						biological-region	enhancer										
1	120893161	LOC120893161						biological-region	enhancer										
1	120893162	LOC120893162						biological-region	enhancer										
1	120893163	LOC120893163						biological-region	enhancer										
1	120893164	LOC120893164						biological-region	enhancer										
1	120893165	LOC120893165						biological-region	enhancer										
1	120893166	LOC120893166						biological-region	enhancer										
1	120893168	LOC120893168						biological-region	enhancer										
1	120893169	LOC120893169						biological-region	enhancer										
1	120893170	LOC120893170						biological-region	enhancer										
1	120893171	LOC120893171						biological-region	enhancer										
1	120893172	LOC120893172						biological-region	enhancer										
1	120893173	LOC120893173						biological-region	enhancer										
1	120893174	LOC120893174						biological-region	enhancer										
1	120893175	LOC120893175						biological-region	enhancer										
1	120893176	LOC120893176						biological-region	enhancer										
1	120908903	LOC120908903						biological-region	enhancer										
1	120908904	LOC120908904						biological-region	enhancer										
1	120908905	LOC120908905						biological-region	enhancer										
1	120908906	LOC120908906						biological-region	enhancer										
1	120908907	LOC120908907						biological-region	enhancer										
1	120908908	LOC120908908						biological-region	enhancer										
1	120908909	LOC120908909						biological-region	enhancer										
1	120908910	LOC120908910						biological-region	enhancer										
1	120908911	LOC120908911						biological-region	enhancer										
1	120908912	LOC120908912						biological-region	enhancer	silencer									
1	120908913	LOC120908913						biological-region	enhancer										
1	120908914	LOC120908914						biological-region	enhancer										
1	120908915	LOC120908915						biological-region	enhancer										
1	120908916	LOC120908916						biological-region	enhancer										
1	120908917	LOC120908917						biological-region	enhancer										
1	120908918	LOC120908918						biological-region	enhancer										
1	120908919	LOC120908919						biological-region	enhancer										
1	120908920	LOC120908920						biological-region	enhancer										
1	120908921	LOC120908921						biological-region	enhancer										
1	120908922	LOC120908922						biological-region	enhancer										
